,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
6568,2013,31,108968,108968,Melbourne (CBD),In Zone Cafe,"Shop 3, 625 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9543648,-37.818184,"-37.8181841629, 144.95436479780807",3000,https://www.google.com/search?q=In+Zone+Cafe+Melbourne,Cafe
6571,2013,32,102117,102117,Melbourne (CBD),Henry & The Fox,"Shop 10, 500 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.957476,-37.817563,"-37.81756267366522, 144.9574758159",3000,https://www.google.com/search?q=Henry+&+The+Fox+Melbourne,Australian
6588,2013,34,103176,103176,Melbourne (CBD),Vanbra Cafe,12 Elizabeth Street MELBOURNE 3000,Cafes and Restaurants,144.963496,-37.815919,"-37.81591920735, 144.96349601846208",3000,https://www.google.com/search?q=Vanbra+Cafe+Melbourne,Cafe
6592,2013,34,105929,105929,Melbourne (CBD),Le Sucre Cafe,349 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,144.963301,-37.815578,"-37.815577516659154, 144.96330054055",3000,https://www.google.com/search?q=Le+Sucre+Cafe+Melbourne,Cafe
6594,2013,34,105929,105929,Melbourne (CBD),Golden Chili's,30 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,144.963301,-37.815578,"-37.815577516659154, 144.96330054055",3000,https://www.google.com/search?q=Golden+Chili's+Melbourne,Indian
6600,2013,34,110669,110669,Melbourne (CBD),Harry Joy's Kitchen,"Shop 4, 353 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,144.962995,-37.815698,"-37.8156982804183, 144.96299531095",3000,https://www.google.com/search?q=Harry+Joy's+Kitchen+Melbourne,Chinese
6607,2013,35,102143,102143,Melbourne (CBD),Cafe Doppio,"Shop 532, Level 3, 260 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.964909,-37.815414,"-37.81541369616451, 144.96490915325",3000,https://www.google.com/search?q=Cafe+Doppio+Melbourne,Cafe
6610,2013,35,103325,103325,Melbourne (CBD),Hudsons Elizabeth Street,84-86 Elizabeth Street MELBOURNE 3000,Cafes and Restaurants,144.9641821,-37.815913,"-37.8159129499, 144.96418214781568",3000,https://www.google.com/search?q=Hudsons+Elizabeth+Street+Melbourne,Cafe
6613,2013,35,105928,105928,Melbourne (CBD),Dinkum Pies,29 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,144.964225,-37.81529,"-37.81528953041167, 144.96422535875",3000,https://www.google.com/search?q=Dinkum+Pies+Melbourne,Australian
6619,2013,36,102152,102152,Melbourne (CBD),The Long Room,"Shop , Basement , 162 Collins Street MELBOURNE 3000","Pubs, Taverns and Bars",144.967848,-37.814503,"-37.814502920035494, 144.96784765085",3000,https://www.google.com/search?q=The+Long+Room+Melbourne,Australian
6621,2013,37,102155,102155,Melbourne (CBD),Gadjo Cafe,"Shop , Part 120-120 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9693157,-37.814,"-37.81400034895, 144.9693156901375",3000,https://www.google.com/search?q=Gadjo+Cafe+Melbourne,Cafe
6622,2013,37,102155,102155,Melbourne (CBD),Elements Catering,"Shop 3, Podium , 120 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9693157,-37.814,"-37.81400034895, 144.9693156901375",3000,https://www.google.com/search?q=Elements+Catering+Melbourne,Australian
6625,2013,38,102164,102164,Melbourne (CBD),Corporate Cafe,"Ground , 60 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.971624,-37.813619,"-37.813618966631765, 144.97162391175",3000,https://www.google.com/search?q=Corporate+Cafe+Melbourne,Cafe
6626,2013,38,102165,102165,Melbourne (CBD),Koko Black Chocolate,"Ground , 52 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9718396,-37.813561,"-37.81356076254413, 144.97183957534995",3000,https://www.google.com/search?q=Koko+Black+Chocolate+Melbourne,Cafe
6629,2013,38,102174,102174,Melbourne (CBD),Cafe Alcaston,"Shop 1, Ground , 2 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9735471,-37.813039,"-37.81303863605093, 144.97354712704998",3000,https://www.google.com/search?q=Cafe+Alcaston+Melbourne,Australian
6632,2013,38,105913,105913,Melbourne (CBD),N Lee Bakery And Cafe,"Shop 4, 61 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,144.971692,-37.813141,"-37.81314087303295, 144.97169208755",3000,https://www.google.com/search?q=N+Lee+Bakery+And+Cafe+Melbourne,Cafe
6633,2013,38,108274,108274,Melbourne (CBD),The Lyceum Club,2-18 Ridgway Place MELBOURNE 3000,Clubs (Hospitality),144.972595,-37.81315,"-37.81314970940931, 144.97259506305",3000,https://www.google.com/search?q=The+Lyceum+Club+Melbourne,Australian
6635,2013,38,108982,108982,Melbourne (CBD),Cafe Excello,"Ground , 1-3 Spring Street MELBOURNE 3000",Cafes and Restaurants,144.9731824,-37.8126,"-37.812599635, 144.97318235905587",3000,https://www.google.com/search?q=Cafe+Excello+Melbourne,Cafe
6648,2013,43,108068,108068,Melbourne (CBD),Gifts @ CQ,416-418 Queen Street MELBOURNE 3000,Cafes and Restaurants,144.9606361,-37.815812,"-37.81581228795, 144.96063605148169",3000,https://www.google.com/search?q=Gifts+@+CQ+Melbourne,Cafe
6649,2013,43,108068,108068,Melbourne (CBD),Lanai Restaurant & Bar,"Part Level 1, 113-129 Queen Street MELBOURNE 3000",Cafes and Restaurants,144.9606361,-37.815812,"-37.81581228795, 144.96063605148169",3000,https://www.google.com/search?q=Lanai+Restaurant+&+Bar+Melbourne,Australian
6653,2013,44,597186,101146,Melbourne (CBD),Bite,385 Bourke Street MELBOURNE 3000,Cafes and Restaurants,144.9629215,-37.814929,"-37.814929436121915, 144.96292154949998",3000,https://www.google.com/search?q=Bite+Melbourne,Cafe
6654,2013,44,597186,101146,Melbourne (CBD),Blahnik,385 Bourke Street MELBOURNE 3000,Cafes and Restaurants,144.9629215,-37.814929,"-37.814929436121915, 144.96292154949998",3000,https://www.google.com/search?q=Blahnik+Melbourne,Cafe
6657,2013,44,106372,106372,Melbourne (CBD),Guhng Korean Charcoal BBQ Restaurant,19 McKillop Street MELBOURNE 3000,Cafes and Restaurants,144.961621,-37.815342,"-37.8153418477, 144.96162095803362",3000,https://www.google.com/search?q=Guhng+Korean+Charcoal+BBQ+Restaurant+Melbourne,Korean
6659,2013,44,106375,106375,Melbourne (CBD),McKillops Bar & Restaurant,"Ground , 14 McKillop Street MELBOURNE 3000",Cafes and Restaurants,144.961903,-37.815331,"-37.815331080383345, 144.9619028237",3000,https://www.google.com/search?q=McKillops+Bar+&+Restaurant+Melbourne,Australian
